"downloaded","language","form","measure","age","엄마","공","떡","싫어"
2023-04-18,"Korean","WG","produces",8,0.67,0,0,0.02
2023-04-18,"Korean","WG","produces",9,0.62,0,0,0
2023-04-18,"Korean","WG","produces",10,0.57,0.02,0,0.02
2023-04-18,"Korean","WG","produces",11,0.71,0.05,0,0.05
2023-04-18,"Korean","WG","produces",12,0.76,0.05,0.03,0.03
2023-04-18,"Korean","WG","produces",13,0.74,0.19,0,0.11
2023-04-18,"Korean","WG","produces",14,0.81,0.19,0.02,0.11
2023-04-18,"Korean","WG","produces",15,0.76,0.24,0.03,0.1
2023-04-18,"Korean","WG","produces",16,0.75,0.27,0.08,0.16
2023-04-18,"Korean","WG","produces",17,0.74,0.37,0.1,0.16
2023-04-18,"Korean","WS","produces",17,1,1,1,1
2023-04-18,"Korean","WS","produces",18,0.86,0.62,0.18,0.34
2023-04-18,"Korean","WS","produces",19,0.83,0.65,0.11,0.34
2023-04-18,"Korean","WS","produces",20,0.81,0.64,0.15,0.3
2023-04-18,"Korean","WS","produces",21,0.92,0.76,0.32,0.37
2023-04-18,"Korean","WS","produces",22,0.88,0.75,0.38,0.58
2023-04-18,"Korean","WS","produces",23,0.81,0.77,0.37,0.44
2023-04-18,"Korean","WS","produces",24,0.84,0.84,0.62,0.65
2023-04-18,"Korean","WS","produces",25,0.92,0.92,0.73,0.73
2023-04-18,"Korean","WS","produces",26,0.91,0.89,0.66,0.69
2023-04-18,"Korean","WS","produces",27,0.98,0.94,0.63,0.77
2023-04-18,"Korean","WS","produces",28,0.95,0.91,0.67,0.82
2023-04-18,"Korean","WS","produces",29,1,0.92,0.79,0.84
2023-04-18,"Korean","WS","produces",30,0.91,0.93,0.74,0.9
2023-04-18,"Korean","WS","produces",31,0.99,0.99,0.79,0.92
2023-04-18,"Korean","WS","produces",32,0.98,0.95,0.78,0.86
2023-04-18,"Korean","WS","produces",33,0.97,0.96,0.84,0.88
2023-04-18,"Korean","WS","produces",34,0.97,0.99,0.91,0.93
2023-04-18,"Korean","WS","produces",35,0.97,0.94,0.81,0.91
2023-04-18,"Korean","WS","produces",36,0.99,0.99,0.96,0.96
